{0: [0, 0, 0], 1: [1, 18, 18.0], 2: [0, 0, 0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [0, 0, 0], 1: [2, 39, 19.5], 2: [0, 0, 0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [0, 0, 0], 1: [3, 70, 23.333333333333332], 2: [0, 0, 0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [0, 0, 0], 1: [4, 108, 27.0], 2: [0, 0, 0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [0, 0, 0], 1: [4, 108, 27.0], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [0, 0, 0], 1: [5, 153, 30.6], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [0, 0, 0], 1: [6, 180, 30.0], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [0, 0, 0], 1: [7, 217, 31.0], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [0, 0, 0], 1: [8, 244, 30.5], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [0, 0, 0], 1: [9, 262, 29.11111111111111], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [0, 0, 0], 1: [10, 285, 28.5], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [0, 0, 0], 1: [11, 306, 27.818181818181817], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [0, 0, 0], 1: [12, 325, 27.083333333333332], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [0, 0, 0], 1: [13, 361, 27.76923076923077], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [1, 20, 20.0], 1: [13, 361, 27.76923076923077], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [1, 20, 20.0], 1: [14, 380, 27.142857142857142], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [2, 53, 26.5], 1: [14, 380, 27.142857142857142], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [2, 53, 26.5], 1: [15, 405, 27.0], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [3, 86, 28.666666666666668], 1: [15, 405, 27.0], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [3, 86, 28.666666666666668], 1: [16, 419, 26.1875], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [3, 86, 28.666666666666668], 1: [17, 450, 26.470588235294116], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [3, 86, 28.666666666666668], 1: [18, 467, 25.944444444444443], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [3, 86, 28.666666666666668], 1: [19, 498, 26.210526315789473], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [3, 86, 28.666666666666668], 1: [20, 523, 26.15], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [4, 107, 26.75], 1: [20, 523, 26.15], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [4, 107, 26.75], 1: [21, 558, 26.571428571428573], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [5, 126, 25.2], 1: [21, 558, 26.571428571428573], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [6, 145, 24.166666666666668], 1: [21, 558, 26.571428571428573], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [6, 145, 24.166666666666668], 1: [22, 588, 26.727272727272727], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [6, 145, 24.166666666666668], 1: [23, 613, 26.652173913043477], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [6, 145, 24.166666666666668], 1: [24, 636, 26.5], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [6, 145, 24.166666666666668], 1: [25, 665, 26.6], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [6, 145, 24.166666666666668], 1: [26, 691, 26.576923076923077], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [7, 170, 24.285714285714285], 1: [26, 691, 26.576923076923077], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [7, 170, 24.285714285714285], 1: [27, 710, 26.296296296296298], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [7, 170, 24.285714285714285], 1: [28, 745, 26.607142857142858], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [8, 191, 23.875], 1: [28, 745, 26.607142857142858], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [9, 208, 23.11111111111111], 1: [28, 745, 26.607142857142858], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [10, 238, 23.8], 1: [28, 745, 26.607142857142858], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [10, 238, 23.8], 1: [29, 770, 26.551724137931036], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [11, 257, 23.363636363636363], 1: [29, 770, 26.551724137931036], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [12, 272, 22.666666666666668], 1: [29, 770, 26.551724137931036], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [13, 308, 23.692307692307693], 1: [29, 770, 26.551724137931036], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [14, 337, 24.071428571428573], 1: [29, 770, 26.551724137931036], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [15, 357, 23.8], 1: [29, 770, 26.551724137931036], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [15, 357, 23.8], 1: [30, 785, 26.166666666666668], 2: [1, 14, 14.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [15, 357, 23.8], 1: [30, 785, 26.166666666666668], 2: [2, 46, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [15, 357, 23.8], 1: [31, 816, 26.322580645161292], 2: [2, 46, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [15, 357, 23.8], 1: [32, 833, 26.03125], 2: [2, 46, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [15, 357, 23.8], 1: [33, 862, 26.12121212121212], 2: [2, 46, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [15, 357, 23.8], 1: [34, 882, 25.941176470588236], 2: [2, 46, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [16, 373, 23.3125], 1: [34, 882, 25.941176470588236], 2: [2, 46, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [16, 373, 23.3125], 1: [35, 914, 26.114285714285714], 2: [2, 46, 23.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [16, 373, 23.3125], 1: [35, 914, 26.114285714285714], 2: [3, 76, 25.333333333333332], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [17, 399, 23.470588235294116], 1: [35, 914, 26.114285714285714], 2: [3, 76, 25.333333333333332], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [17, 399, 23.470588235294116], 1: [36, 935, 25.97222222222222], 2: [3, 76, 25.333333333333332], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [17, 399, 23.470588235294116], 1: [37, 980, 26.486486486486488], 2: [3, 76, 25.333333333333332], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [18, 431, 23.944444444444443], 1: [37, 980, 26.486486486486488], 2: [3, 76, 25.333333333333332], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [18, 431, 23.944444444444443], 1: [38, 1005, 26.44736842105263], 2: [3, 76, 25.333333333333332], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [19, 453, 23.842105263157894], 1: [38, 1005, 26.44736842105263], 2: [3, 76, 25.333333333333332], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [20, 483, 24.15], 1: [38, 1005, 26.44736842105263], 2: [3, 76, 25.333333333333332], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [21, 509, 24.238095238095237], 1: [38, 1005, 26.44736842105263], 2: [3, 76, 25.333333333333332], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [22, 531, 24.136363636363637], 1: [38, 1005, 26.44736842105263], 2: [3, 76, 25.333333333333332], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [22, 531, 24.136363636363637], 1: [39, 1021, 26.17948717948718], 2: [3, 76, 25.333333333333332], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [23, 576, 25.043478260869566], 1: [39, 1021, 26.17948717948718], 2: [3, 76, 25.333333333333332], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [24, 591, 24.625], 1: [39, 1021, 26.17948717948718], 2: [3, 76, 25.333333333333332], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [24, 591, 24.625], 1: [40, 1045, 26.125], 2: [3, 76, 25.333333333333332], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [25, 615, 24.6], 1: [40, 1045, 26.125], 2: [3, 76, 25.333333333333332], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [25, 615, 24.6], 1: [40, 1045, 26.125], 2: [4, 96, 24.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [25, 615, 24.6], 1: [41, 1061, 25.878048780487806], 2: [4, 96, 24.0], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [25, 615, 24.6], 1: [41, 1061, 25.878048780487806], 2: [5, 111, 22.2], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [25, 615, 24.6], 1: [42, 1093, 26.023809523809526], 2: [5, 111, 22.2], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [26, 646, 24.846153846153847], 1: [42, 1093, 26.023809523809526], 2: [5, 111, 22.2], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [27, 670, 24.814814814814813], 1: [42, 1093, 26.023809523809526], 2: [5, 111, 22.2], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [27, 670, 24.814814814814813], 1: [43, 1112, 25.86046511627907], 2: [5, 111, 22.2], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [28, 684, 24.428571428571427], 1: [43, 1112, 25.86046511627907], 2: [5, 111, 22.2], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [28, 684, 24.428571428571427], 1: [44, 1131, 25.704545454545453], 2: [5, 111, 22.2], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [28, 684, 24.428571428571427], 1: [45, 1148, 25.511111111111113], 2: [5, 111, 22.2], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [29, 721, 24.862068965517242], 1: [45, 1148, 25.511111111111113], 2: [5, 111, 22.2], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [29, 721, 24.862068965517242], 1: [46, 1176, 25.565217391304348], 2: [5, 111, 22.2], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [29, 721, 24.862068965517242], 1: [47, 1193, 25.382978723404257], 2: [5, 111, 22.2], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
{0: [30, 736, 24.533333333333335], 1: [47, 1193, 25.382978723404257], 2: [5, 111, 22.2], 3: [0, 0, 0], 4: [0, 0, 0], 5: [0, 0, 0], 6: [0, 0, 0], 7: [0, 0, 0], 8: [0, 0, 0]}
